any,1199,1657,2155,4820,5964,6123,6723,7049,7148,7153,7468,7548,7601,7602,7943,7953,7972,8007,8015,11173,13355,13378,14195,14196,18138,18691,25845,27354,31791,33728,35221
Y,450,400,340,440,440,469,319,469,489,520,469,319,480,480,419,450,,340,319,,410,440,,,410,410,,440,340,540,460
Y,300,350,260,370,340,259,289,339,339,290,259,289,360,340,339,290,,260,289,,290,340,,,290,300,,340,260,450,300
Y,370,380,320,440,450,459,329,389,439,380,459,319,450,440,359,380,,320,319,,370,450,,,370,370,,410,320,510,350
Y,290,290,,320,300,159,129,319,,290,139,119,300,320,299,290,,,139,,290,320,,,290,270,,300,,390,290
Y,370,340,280,350,340,269,279,369,369,300,269,289,340,340,339,340,,280,289,,290,340,,,300,340,,360,280,380,290
Y,30,30,,30,30,75,75,29,29,30,75,75,30,30,29,30,,,75,,30,30,,,30,30,,30,,40,30
Y,40,30,,30,30,75,75,29,39,40,75,75,30,30,29,30,,,75,,30,30,,,30,40,,30,,40,30
Y,30,30,,30,30,75,75,29,29,30,75,75,30,30,29,30,,,75,,30,30,,,30,30,,30,,40,30
Y,30,30,80,30,30,75,75,39,39,30,75,75,40,30,39,30,,80,75,,40,30,,,30,30,,30,80,40,30
Y,70,80,120,90,80,119,119,99,109,90,119,119,90,90,89,90,,120,119,,70,90,,,90,90,,90,120,100,90
Y,340,360,290,380,400,389,319,379,369,340,399,299,390,400,349,370,,290,299,,340,360,,,340,350,,390,290,480,340
Y,400,370,300,390,400,399,319,439,399,460,399,319,410,400,389,390,,300,329,,440,390,,,370,390,,400,300,510,390
Y,390,400,300,400,400,349,339,419,469,420,359,319,380,470,399,400,,300,359,,390,420,,,430,410,,440,300,520,420
Y,470,450,480,450,480,449,449,515,549,450,459,469,430,495,495,430,,480,469,,450,460,,,460,460,,530,480,560,470
Y,440,370,320,370,410,399,299,439,399,390,439,299,420,400,379,420,,320,299,,390,360,,,370,400,,420,320,490,450
Y,360,360,260,380,390,250,279,389,379,320,250,289,410,370,359,350,,260,289,,380,330,,,320,390,,410,260,420,390
Y,410,390,270,450,440,379,299,429,419,360,389,319,440,380,389,370,,270,299,,390,360,,,380,420,,450,270,470,420
Y,450,410,280,470,470,449,319,439,489,370,459,329,470,460,419,450,,280,319,,410,400,,,400,440,,470,280,520,450
Y,440,420,290,450,470,449,319,439,489,380,449,329,470,480,419,450,,290,319,,420,400,,,410,440,,470,290,520,460
Y,390,400,300,400,400,349,339,419,469,420,359,319,380,470,399,400,,300,359,,390,420,,,430,410,,440,300,520,420
Y,470,450,480,450,480,449,449,515,549,450,459,469,430,495,495,430,,480,469,,450,460,,,460,460,,530,480,560,470
Y,530,500,540,495,530,539,499,549,599,490,559,489,490,530,550,495,,540,499,,480,495,,,520,495,,560,540,610,520
Y,400,380,280,450,420,379,299,429,399,360,379,299,440,400,369,370,,280,299,,380,360,,,380,410,,450,280,470,370
Y,360,340,260,380,400,250,289,389,369,320,250,289,390,370,339,360,,260,289,,320,330,,,300,380,,410,260,420,340
Y,520,520,500,520,500,439,499,549,559,510,479,479,510,520,519,520,,500,499,,490,470,,,510,480,,520,500,580,550
Y,580,590,620,600,590,569,559,599,629,550,529,539,570,600,579,595,,620,559,,590,490,,,580,590,,590,620,650,600
Y,530,500,540,495,530,539,499,549,599,490,559,489,490,530,550,495,,540,499,,480,495,,,520,495,,560,540,610,520
Y,110,110,100,110,110,159,119,109,109,110,159,119,110,110,109,110,,100,119,,110,110,,,110,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,1415,1400,1195,1360,1360,1229,1259,1369,1465,1360,1219,1259,1340,1375,1390,1340,,1195,1259,,1380,1340,,,1350,1340,,1360,1200,1660,1360
Y,330,310,,,,,,,339,,,,,,,350,,,,,,,,,,,,,,450,
Y,330,330,,,,,,,339,,,,,,,350,,,,,,,,,,,,,,400,
Y,110,110,130,110,110,189,119,159,159,110,189,119,110,110,159,110,,130,119,,110,110,,,110,110,,110,130,110,110
Y,350,350,280,380,380,259,299,379,369,440,259,289,410,370,339,380,,280,299,,390,360,,,340,380,,400,280,480,390
Y,400,370,300,450,410,399,319,439,399,460,399,319,420,420,399,400,,300,329,,440,390,,,390,400,,420,300,510,420
Y,450,400,320,470,480,469,339,469,479,480,479,339,470,490,409,450,,320,349,,470,470,,,440,440,,460,320,540,460
Y,300,350,260,380,340,259,289,339,349,290,259,289,370,370,339,320,,260,289,,290,340,,,290,300,,350,260,450,320
Y,380,400,300,440,400,279,379,439,419,380,279,339,420,420,415,390,,300,369,,410,400,,,400,400,,420,300,490,420
Y,480,430,380,470,460,349,449,469,499,450,339,459,470,495,515,495,,380,439,,460,480,,,440,450,,490,380,520,460
Y,30,30,,30,30,75,75,29,39,30,75,75,30,30,29,30,,,75,,30,30,,,30,30,,30,,40,30
Y,420,420,360,420,420,319,359,419,489,420,339,359,420,420,419,420,,360,389,,420,420,,,420,420,,420,360,500,420
Y,880,860,770,870,870,999,879,945,1019,920,979,899,1000,890,869,870,,770,879,,890,895,,,850,850,,860,770,1060,880
