any,220,235,364,1424,2023,2279,2427,2570,3140,3397,3498,3514,3865,3907,4071,4092,4179,4238,4404,4456,4644,4654,4738,4787,4919,5249,5553,5590,5659,5731,5808,6011,6029,6228,6231,6849,7164,7712,8084,10147,10367,10393,10833,10858,11060,11066,11098,11473,11550,11796,11807,11885,12190,12391,12495,12501,13262,13697,14673,15793,16369,18534,20105,20533,21191,22258,22591,22592,22852,23481,23529,23895,24370,25211,26250,27183,27525,28191,28808,28828,30148,30374,30519,30578,30903,30968,31141,31188,31305,31397,31404,31442,31566,31869,31902,31973,32613,33423,33972,35806
Y,459,419,459,529,499,799,629,539,479,489,539,469,399,479,659,519,429,,499,599,499,429,489,499,,489,499,599,719,489,599,599,419,629,829,625,429,519,629,630,630,459,599,599,,599,,499,639,799,,639,489,429,479,479,459,499,489,,,519,499,630,629,469,469,499,479,599,449,489,479,629,859,630,429,459,,,,,,,,,469,499,,,459,799,630,519,,489,489,799,459,
Y,199,199,189,189,199,329,269,199,189,219,159,189,169,199,289,139,199,,179,159,189,189,189,179,,189,189,189,279,159,239,209,199,269,329,180,189,199,269,200,200,199,159,199,,239,,199,269,329,,289,199,199,199,189,159,199,199,,,189,139,200,289,199,199,189,199,159,189,199,199,269,369,200,189,199,,,,,,,,,189,199,,,189,329,200,139,,199,189,329,189,
Y,179,189,129,169,129,329,129,179,199,199,129,139,159,159,169,139,189,,179,159,189,139,199,149,,139,139,169,199,169,199,199,189,129,329,180,129,155,129,185,185,129,149,179,,189,,169,119,329,,169,179,139,159,199,179,129,179,,,179,139,185,169,179,129,129,159,139,129,179,159,119,349,185,179,149,,,,,,,,,199,199,,,129,329,185,139,,169,129,329,139,
Y,219,189,199,209,199,249,249,209,199,219,219,219,199,239,229,229,189,,199,169,209,199,199,189,,199,199,219,239,199,189,249,199,249,259,230,199,199,249,230,230,199,189,209,,189,,199,199,249,,229,219,189,239,199,189,199,199,,,189,229,230,229,219,199,199,239,169,199,199,239,199,289,230,199,229,,,,,,,,,199,219,,,199,249,230,229,,199,199,259,189,
Y,449,429,429,459,429,639,469,469,479,459,479,439,389,459,479,469,429,,469,510,529,439,469,469,,459,449,469,579,469,510,459,419,469,639,480,429,479,469,495,495,429,510,479,,510,,499,469,639,,479,459,449,459,449,389,449,479,,,469,469,495,479,469,449,419,459,510,419,429,469,459,719,495,389,469,,,,,,,,,449,549,,,449,639,495,469,,489,429,639,459,
Y,129,139,119,139,169,139,100,129,139,149,159,119,139,100,100,119,139,,129,119,149,119,129,169,,129,129,129,129,149,119,149,139,100,139,100,119,159,100,105,105,129,100,139,,100,,149,119,149,,100,169,169,100,129,129,129,139,,,129,119,105,100,159,100,129,100,100,119,119,100,119,149,105,139,129,,,,,,,,,139,139,,,100,149,105,119,,159,100,139,159,
Y,369,419,389,469,379,699,449,369,419,399,359,389,359,419,449,419,419,,389,389,449,389,429,399,,389,389,459,479,399,389,319,419,449,729,395,389,349,449,395,395,389,389,479,,389,,349,459,699,,449,379,399,419,419,349,389,349,,,389,419,395,449,369,389,389,419,389,389,369,419,419,749,395,369,399,,,,,,,,,419,479,,,389,699,395,419,,349,389,699,419,
Y,739,729,719,779,759,1299,1029,769,919,819,819,749,679,769,999,799,739,,759,799,939,749,909,759,,759,759,779,899,749,799,999,739,1029,1299,795,749,749,1029,815,815,749,799,769,,799,,759,1099,1579,,999,799,729,769,909,719,729,719,,,759,769,815,999,779,759,719,769,799,729,729,769,999,1399,815,739,799,,,,,,,,,909,949,,,719,1579,815,799,,769,759,1579,739,
Y,219,159,199,229,219,279,219,229,239,239,229,189,179,249,289,219,159,,199,299,209,189,199,189,,189,189,219,259,199,299,250,159,219,279,250,189,229,219,250,250,189,299,229,,299,,229,249,279,,289,199,199,249,199,169,199,229,,,199,219,250,289,199,189,189,249,299,189,239,249,199,399,250,229,259,,,,,,,,,199,229,,,199,279,250,219,,219,199,279,199,
Y,219,210,149,199,169,329,139,199,219,199,159,149,169,189,169,149,210,,189,229,239,149,219,199,,179,149,219,249,199,249,199,210,139,329,195,149,179,139,210,210,149,269,189,,229,,179,139,329,,179,179,169,199,219,159,149,199,,,189,149,210,179,179,149,149,189,229,149,159,189,139,349,210,199,169,,,,,,,,,199,199,,,149,329,210,149,,199,169,329,189,
