Y,399,399,429,399,429,459,549,429,549,429,549,549,439,389,459,549,429,549,549,429,379,549,,429,429,379,429,429,399,429
Y,319,319,,319,,,,,,,,,349,299,,,,,,,279,,,,,279,,,319,
Y,419,419,,419,,,,,,,,,429,389,,,,,,,389,,,,,389,,,419,
Y,529,529,,529,,,,,,,,,479,479,,,,,,,479,,,,,489,,,529,
Y,119,119,129,119,129,199,79,119,89,99,89,89,79,100,199,79,119,79,89,99,59,89,,119,119,59,99,119,119,119
Y,339,339,389,339,389,389,519,389,519,389,519,519,389,339,389,519,389,519,519,389,319,519,,389,389,319,389,389,339,389
Y,279,279,279,279,279,249,279,279,279,279,279,279,339,279,249,279,279,279,279,279,219,279,,279,279,219,279,279,279,279
Y,449,449,469,449,469,419,519,469,519,469,519,539,419,399,419,519,469,519,519,469,419,539,,479,469,419,479,469,449,469
Y,529,529,539,529,539,489,549,539,559,529,559,579,469,499,489,589,529,589,599,539,519,589,,539,579,519,539,539,529,539
Y,529,529,469,529,469,489,539,469,559,469,559,559,479,479,489,559,479,559,539,469,479,559,,469,479,489,469,459,529,469
Y,139,139,139,139,100,139,100,99,100,100,100,100,139,,139,100,100,100,100,99,129,100,,100,100,129,100,100,139,99
Y,100,100,149,100,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,100,149
Y,679,679,,679,,,,,,,,,779,,,,,,,,719,,,,,719,,,679,
Y,939,939,1049,939,1079,889,1079,1059,1129,1069,1119,1129,889,879,889,1119,1079,1089,1129,1039,879,1129,,1069,1079,879,1079,1019,939,1039
Y,169,169,139,169,139,159,219,139,219,139,219,219,159,149,159,219,139,219,219,139,129,219,,139,139,129,139,139,169,139
Y,629,629,,629,,559,749,,749,,749,,,,559,769,,749,749,,,749,,,,,,,629,
Y,499,499,,499,,355,594,,594,,594,,,,355,594,,594,594,,,594,,,,,,,499,
Y,289,,279,,279,249,299,279,299,279,299,279,339,289,249,299,279,299,299,279,219,319,,279,279,219,279,279,,279
Y,369,,389,,389,389,499,389,499,389,499,499,389,369,389,499,389,499,499,389,319,499,,389,389,319,389,389,,389
Y,439,,429,,429,459,539,429,539,429,539,539,439,419,459,539,429,559,539,429,429,539,,429,429,429,429,429,,429
Y,339,339,279,339,279,219,279,279,279,279,279,279,339,269,219,279,279,279,279,,219,279,,,279,219,,279,339,279
Y,439,439,389,439,389,359,499,389,499,,499,499,389,329,359,499,389,499,499,389,319,499,,389,389,319,,389,439,389
Y,499,499,439,499,439,399,519,439,519,439,519,529,439,389,399,519,439,519,519,439,399,519,,439,439,399,,,499,439
Y,289,289,189,289,189,189,189,189,189,189,189,189,219,239,189,189,189,189,189,189,189,189,,189,189,189,189,189,289,189
Y,359,359,189,359,189,189,189,189,189,189,189,189,239,259,189,189,189,189,189,189,189,189,,189,189,189,189,189,359,189
Y,25,25,40,25,40,50,49,40,49,40,49,49,40,,50,49,40,49,49,40,35,49,,40,40,35,40,40,25,40
Y,2019,2019,2199,2019,2199,1979,1849,2199,1959,2199,1959,1999,2199,1859,1979,1899,2199,1959,1959,2259,1900,1849,,2219,2249,1959,2199,2199,2019,2249
Y,319,319,339,319,339,319,369,339,369,339,369,369,349,299,319,369,339,369,369,339,329,369,,339,339,329,339,339,319,339
Y,749,749,799,749,829,759,899,859,899,859,899,899,749,759,759,899,829,899,899,829,669,899,,799,829,669,799,829,749,829
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,139,139,149,139,149,149,149,149,149,149,149,149,139,139,149,149,149,149,149,149,149,149,,149,149,149,149,149,139,149
Y,459,459,469,459,469,419,519,469,519,469,519,539,419,399,419,519,469,519,519,469,419,539,,479,469,419,479,469,459,469
Y,559,559,539,559,539,489,549,539,559,529,559,579,469,499,489,589,529,589,599,539,519,589,,539,579,519,539,539,559,539
Y,359,359,299,359,299,269,349,299,339,299,329,339,369,299,269,379,289,369,339,329,319,359,,319,319,319,299,299,359,299
Y,349,349,299,349,299,269,349,299,339,299,329,339,369,299,269,379,289,369,339,329,319,359,,319,319,319,299,299,349,299
Y,279,279,239,279,209,249,339,269,349,279,369,369,259,279,249,359,259,349,359,249,299,359,,209,269,299,269,219,279,259
Y,349,349,299,349,299,299,389,339,399,299,399,399,319,299,299,369,329,399,399,299,339,399,,299,339,339,299,299,349,299
Y,729,729,749,729,769,689,839,819,839,779,839,879,699,679,689,839,769,839,839,749,679,839,,739,759,679,779,779,729,749
Y,679,679,729,679,729,669,759,699,759,739,769,769,659,659,669,769,729,759,759,708,719,759,,739,729,719,739,729,689,718
Y,139,139,139,139,139,139,100,139,100,139,100,100,139,139,139,100,139,100,100,139,,100,,139,139,,139,139,139,139
